SourcedFrom,FileTimeUtc,Botnet,SourceIp,SourcePort,SourceIpAsnNr,TargetIp,TargetPort,Payload,SourceIpCountryCode,SourceIpRegion,SourceIpCity,SourceIpPostalCode,SourceIpLatitude,SourceIpLongitude,SourceIpMetroCode,SourceIpAreaCode,HttpRequest,HttpReferrer,HttpUserAgent,HttpMethod,HttpVersion,HttpHost,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Threat Confidence
SinkHoleMessage,1.31E+17,B106-CB,175.140.89.227,49927,AS4788,204.95.99.31,1921,,MY,14,Kuala Lumpur,,3.1667,101.7,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-Jenxcus,60.54.85.214,24026,AS4788,204.95.99.86,991,,MY,,,,2.5,112.5,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-MULTI,202.162.25.177,58104,AS18206,204.95.99.109,7777,,MY,14,Kuala Lumpur,,3.1667,101.7,0,0,POST /ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-MULTI,120.141.81.6,53052,AS38322,204.95.99.109,88,,MY,12,Batu Caves,,3.2333,101.6667,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-Bladabindi,210.195.121.234,61840,AS4788,204.95.99.26,1333,,MY,12,Petaling Jaya,,3.0833,101.65,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-Jenxcus,103.244.49.56,60125,AS132514,204.95.99.86,1888,,MY,14,Kuala Lumpur,,3.1667,101.7,0,0,"lv0njxq80~Torrent~_6A7ED7950njxq80MYS0njxq80WIN_7 X64 SP10njxq800.3.10njxq80N0njxq80""Marvel's Ultimate Spider-Man: Web Warriors"" - Ep. 2, Clip 1 - YouTube - Google Chrome",,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-MULTI,124.13.26.186,64433,AS4788,204.95.99.109,1182,,MY,12,Puchong,,3.0167,101.6167,0,0,lv|'|'|SGFjS2VkXzIyNjcyMjcz|'|'|ROHIN-PC|'|'|ROHIN|'|'|2014-02-22|'|'|MYS|'|'|Win 7 Home Premium SP1 x64|'|'|Yes|'|'|0.5.0E|'|'|..|'|'||'|'|[endof],,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-Jenxcus,14.1.200.221,50762,AS45960,204.95.99.86,1644,,MY,12,Batu Caves,,3.2333,101.6667,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-MULTI,110.159.176.145,60462,AS4788,204.95.99.109,88,,MY,12,Petaling Jaya,,3.0833,101.65,0,0,lv0njxq80w0rm 4_7C7FBB2E0njxq80MYLAPTOP0njxq80myHP0njxq800njxq80WIN_8 X64 SP00njxq800.4d0njxq80Y0njxq80--,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-MULTI,183.171.162.74,43340,AS10030,204.95.99.109,88,,MY,,,,2.5,112.5,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-CB,103.1.71.54,60967,AS45960,204.95.99.31,288,,MY,1,Johor Bahru,,1.4655,103.7578,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-Jenxcus,203.106.151.205,10650,AS4788,204.95.99.86,1644,,MY,9,Penang,,5.4112,100.3354,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-MULTI,113.210.11.234,33384,AS9534,204.95.99.109,88,,MY,12,Kajang,,2.9927,101.7909,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-MULTI,124.13.72.58,54103,AS4788,204.95.99.109,9092,,MY,1,Skudai,,1.5333,103.6667,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-MULTI,175.141.171.242,52886,AS4788,204.95.99.109,88,,MY,,,,2.5,112.5,0,0,lv0njxq80TeeeeFa_DC4955730njxq80ASPIRE1D2700njxq80LALITHA0njxq800njxq80WIN_7 X86 SP00njxq800.4d0njxq80N0njxq80--,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-MULTI,113.210.4.197,55317,AS9534,204.95.99.109,95,,MY,14,Kuala Lumpur,,3.1667,101.7,0,0,lv||UsbV_8E7F6134||ACER/User||MY||WIN_8 X64||5||Windows Defender||,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-MULTI,175.139.132.102,63830,AS4788,204.95.99.109,1998,,MY,14,Kuala Lumpur,,3.1667,101.7,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-MULTI,115.164.93.112,58506,AS4818,204.95.99.109,333,,MY,14,Kuala Lumpur,,3.1667,101.7,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-MULTI,49.236.193.2,61838,AS17971,204.95.99.109,88,,MY,,,,2.5,112.5,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-MULTI,175.136.207.44,58188,AS4788,204.95.99.109,88,,MY,12,Seri Kembangan,,3.0333,101.7167,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-Malagent,210.186.109.74,64073,AS4788,204.95.99.100,4040,,MY,12,Puchong,,3.0167,101.6167,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,Low
SinkHoleMessage,1.31E+17,B106-MULTI,183.171.171.81,1776,AS10030,204.95.99.109,88,,MY,12,Petaling Jaya,,3.0833,101.65,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-CB,60.48.139.42,51316,AS4788,204.95.99.31,1921,,MY,14,Kuala Lumpur,,3.1667,101.7,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-CB,175.143.79.185,8540,AS4788,204.95.99.31,1920,,MY,12,Batu Caves,,3.2333,101.6667,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-MULTI,1.9.107.158,6951,AS4788,204.95.99.109,333,,MY,11,Kuching,,1.55,110.3333,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-Bladabindi,175.140.183.122,49460,AS4788,204.95.99.26,99,,MY,1,Pasir Gudang,,1.462,103.9053,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-MULTI,175.142.9.76,50457,AS4788,204.95.99.109,88,,MY,7,Ipoh,,4.5841,101.0829,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-CB,203.106.150.200,9491,AS4788,204.95.99.31,288,,MY,9,Penang,,5.4112,100.3354,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-Jenxcus,202.188.143.213,59958,AS4788,204.95.99.86,1888,,MY,12,Seri Kembangan,,3.0333,101.7167,0,0,lv0njxq80Mared\AAKUL-RMPPC0007\maa_kul_aproncontrol_08466D3A0njxq80MYS0njxq80WIN_7 X86 SP10njxq800.3.20njxq80Y0njxq80Mimer SoftRadio,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-MULTI,58.26.186.2,50896,AS4788,204.95.99.109,81,,MY,12,Cheras,,3.05,101.7667,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-MULTI,175.136.98.237,57545,AS4788,204.95.99.109,333,,MY,8,Kangar,,6.4414,100.1986,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-Bladabindi,120.141.11.56,61797,AS38322,204.95.99.26,99,,MY,14,Kuala Lumpur,,3.1667,101.7,0,0,,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-MULTI,119.40.112.36,41585,AS38868,204.95.99.109,82,,MY,12,Selangor,,3.35,101.25,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-MULTI,49.124.199.90,54493,AS4818,204.95.99.109,88,,MY,12,Bandar Baru Bangi,,2.9451,101.7735,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-CB,14.1.200.148,51033,AS45960,204.95.99.31,333,,MY,12,Klang,,3.0333,101.45,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-MULTI,175.140.228.221,52392,AS4788,204.95.99.109,86,,MY,14,Kuala Lumpur,,3.1667,101.7,0,0,lv||UsbV_AC65C2EC||HM-PC/Manager||MY||WIN_7 X86||4||Avira Desktop||INSPIRED,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-CB,210.195.214.177,59095,AS4788,204.95.99.31,1990,,MY,12,Shah Alam,,3.0833,101.5333,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-CB,61.6.56.17,51641,AS2042,204.95.99.31,105,,MY,14,Kuala Lumpur,,3.1667,101.7,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-MULTI,203.106.159.161,12909,AS4788,204.95.99.109,88,,MY,4,Melaka,,2.196,102.2405,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-MULTI,115.134.20.215,60314,AS4788,204.95.99.109,1890,,MY,7,Ipoh,,4.5841,101.0829,0,0,177,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-MULTI,120.141.16.172,2015,AS38322,204.95.99.109,7777,,MY,14,Kuala Lumpur,,3.1667,101.7,0,0,,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-Poison,175.143.111.248,3536,AS4788,204.95.99.130,1881,,MY,12,Petaling Jaya,,3.0833,101.65,0,0,lv0njxq80Mtmrd_109DB7E50njxq80MRE-N080njxq80ronny0njxq800njxq80WIN_XP X86 SP30njxq800.4d0njxq80N0njxq80--,,,,,,,,,,,Low
SinkHoleMessage,1.31E+17,B106-MULTI,14.1.200.16,52748,AS45960,204.95.99.109,81,,MY,14,Kuala Lumpur,,3.1667,101.7,0,0,"lv|'|'|IiIiIiIiIiIiIl8xMDZCNkU1Qg==|'|'|USER-PC|'|'|user|'|'|2014-02-14|'|'||'|'|Win 7 Ultimate SP0 x86|'|'|No|'|'|0.6.4|'|'|..|'|'|aVBpY2N5IC0gR29vZ2xlIENocm9tZQ==|'|'|f8c065f4e758233f0d12dc9b8cf7a2ce,2b3328e57676df442688f81f9824276a,5546459fd68bf16831797d2aa2e7d569,[endof]",,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-MULTI,1.9.106.190,18545,AS4788,204.95.99.109,88,,MY,11,Kuching,,1.55,110.3333,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-MULTI,113.23.138.230,65491,AS38182,204.95.99.109,95,,MY,1,Segamat,,2.5148,102.8158,0,0,lv||UsbV_F4C43029||COMPAQ/user||MY||WIN_7 X64||5||360,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-Malagent,203.106.150.5,4899,AS4788,204.95.99.100,4040,,MY,9,Penang,,5.4112,100.3354,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,Low
SinkHoleMessage,1.31E+17,B106-CB,1.9.102.113,7838,AS4788,204.95.99.31,105,,MY,4,Melaka,,2.196,102.2405,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-Bladabindi,60.54.30.15,24893,AS4788,204.95.99.26,1177,,MY,14,Kuala Lumpur,,3.1667,101.7,0,0,218,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-Jenxcus,113.210.139.155,6785,AS9534,204.95.99.86,1644,,MY,14,Kuala Lumpur,,3.1667,101.7,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-MULTI,219.92.172.87,53740,AS4788,204.95.99.109,88,,MY,9,Penang,,5.4112,100.3354,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-MULTI,180.74.41.141,51843,AS38322,204.95.99.109,88,,MY,5,Nilai,,2.8033,101.7972,0,0,lv0njxq80w0rm 4_FEEA790C0njxq80ACER-PC0njxq80Acer0njxq800njxq80WIN_7 X64 SP00njxq800.4d0njxq80Y0njxq80--,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-MULTI,175.140.13.157,49920,AS4788,204.95.99.109,1604,,MY,12,Shah Alam,,3.0833,101.5333,0,0,"lv|'|'|8J+RuSBEYXJrIPCfkblfNDhFRUI0MUM=|'|'|USER-PC|'|'|user|'|'|2014-05-16|'|'||'|'|Win 7 Home Premium SP1 x86|'|'|Yes|'|'|0.6.4|'|'|..|'|'|TWljcm9zb2Z0IEV4Y2VsIC0gQm9vazE=|'|'|2b3328e57676df442688f81f9824276a,[endof]",,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-Jenxcus,175.138.105.166,65118,AS4788,204.95.99.86,1604,,MY,9,Penang,,5.4112,100.3354,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-Jenxcus,113.210.10.154,36826,AS9534,204.95.99.86,81,,MY,14,Kuala Lumpur,,3.1667,101.7,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-CB,175.137.185.213,63600,AS4788,204.95.99.31,2288,,MY,12,Klang,,3.0333,101.45,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-MULTI,203.106.79.100,23063,AS4788,204.95.99.109,88,,MY,9,Penang,,5.4112,100.3354,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-CB,180.74.199.148,55871,AS38322,204.95.99.31,288,,MY,,,,2.5,112.5,0,0,,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-MULTI,14.1.200.138,50288,AS45960,204.95.99.109,88,,MY,12,Klang,,3.0333,101.45,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-MULTI,113.210.139.57,43466,AS9534,204.95.99.109,7777,,MY,14,Kuala Lumpur,,3.1667,101.7,0,0,POST /ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-CB,113.210.136.100,44908,AS9534,204.95.99.31,1921,,MY,12,Petaling Jaya,,3.0833,101.65,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-CB,60.53.183.109,14765,AS4788,204.95.99.31,105,,MY,9,Ayer Itam,,5.4,100.2833,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-CB,202.185.114.222,11848,AS132688,204.95.99.31,6915,,MY,14,Kuala Lumpur,,3.1667,101.7,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-MULTI,60.54.58.66,56292,AS4788,204.95.99.109,88,,MY,4,Melaka,,2.196,102.2405,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-Malagent,103.227.140.36,54922,AS132435,204.95.99.100,4040,,MY,12,Kajang,,2.9927,101.7909,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,Low
SinkHoleMessage,1.31E+17,B106-MULTI,60.50.78.203,59089,AS4788,204.95.99.109,81,,MY,13,Kuala Terengganu,,5.3302,103.1408,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-MULTI,210.195.214.111,55618,AS4788,204.95.99.109,102,,MY,12,Shah Alam,,3.0833,101.5333,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-CB,112.137.166.36,18985,AS17971,204.95.99.31,288,,MY,14,Kuala Lumpur,,3.1667,101.7,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-Ceatrg,175.139.119.223,58009,AS4788,204.95.99.32,3175,,MY,14,Kuala Lumpur,,3.1667,101.7,0,0,ADDNEW|Stable|5.6c|MY|Windows 7 x86|Idle...|3175|OLD,,,,,,,,,,,Low
SinkHoleMessage,1.31E+17,B106-MULTI,183.171.160.100,6248,AS10030,204.95.99.109,88,,MY,14,Kuala Lumpur,,3.1667,101.7,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-CB,121.122.166.19,25924,AS9534,204.95.99.31,288,,MY,12,Puchong,,3.0167,101.6167,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-CB,180.74.23.193,49337,AS38322,204.95.99.31,288,,MY,14,Kuala Lumpur,,3.1667,101.7,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-Jenxcus,183.171.167.26,22878,AS10030,204.95.99.86,1644,,MY,,,,2.5,112.5,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-CB,203.106.158.244,18235,AS4788,204.95.99.31,1920,,MY,4,Melaka,,2.196,102.2405,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-MULTI,61.4.124.34,49438,AS24321,204.95.99.109,333,,MY,14,Kuala Lumpur,,3.1667,101.7,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-MULTI,60.52.47.149,53188,AS4788,204.95.99.109,1177,,MY,1,Johor Bahru,,1.4655,103.7578,0,0,FLz0IaZKg8+Q51KaJghjeJkWGu17rgomdMI/twkeuH8dtd2nkzVRH5+lyGiT5SBv,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-CB,175.140.115.244,64912,AS4788,204.95.99.31,105,,MY,4,Melaka,,2.196,102.2405,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B93-CONFIG,60.49.22.121,36886,AS4788,204.95.99.205,443,,MY,9,Penang,,5.4112,100.3354,0,0,/www5/index.php,0,Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.0.0328),GET,1.1,204.95.99.205,,,,,,High
SinkHoleMessage,1.31E+17,B106-MULTI,175.145.123.193,61038,AS4788,204.95.99.109,1888,,MY,12,Shah Alam,,3.0833,101.5333,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-MULTI,202.188.87.126,58133,AS4788,204.95.99.109,7777,,MY,14,Kuala Lumpur,,3.1667,101.7,0,0,POST /ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-MULTI,113.210.129.238,16112,AS9534,204.95.99.109,1122,,MY,14,Kuala Lumpur,,3.1667,101.7,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-Jenxcus,183.171.164.234,20295,AS10030,204.95.99.86,1644,,MY,14,Kuala Lumpur,,3.1667,101.7,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-Bladabindi,118.100.232.35,42246,AS4788,204.95.99.26,1188,,MY,14,Kuala Lumpur,,3.1667,101.7,0,0,POST /ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-CB,113.210.7.204,36438,AS9534,204.95.99.31,1183,,MY,14,Kuala Lumpur,,3.1667,101.7,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-MULTI,120.141.179.71,59159,AS38322,204.95.99.109,333,,MY,14,Kuala Lumpur,,3.1667,101.7,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-MULTI,112.137.166.36,31496,AS17971,204.95.99.109,2211,,MY,14,Kuala Lumpur,,3.1667,101.7,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-Jenxcus,175.137.147.249,17969,AS4788,204.95.99.86,991,,MY,7,Pusing,,4.4941,101.0079,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-Jenxcus,60.48.88.25,65463,AS4788,204.95.99.86,991,,MY,7,Ipoh,,4.5841,101.0829,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-Jenxcus,175.138.147.197,57370,AS4788,204.95.99.86,991,,MY,,,,2.5,112.5,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-Jenxcus,175.138.81.201,64403,AS4788,204.95.99.86,991,,MY,12,Salak Selatan,,3.1,101.7,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-MULTI,113.210.130.119,29759,AS9534,204.95.99.109,88,,MY,14,Kuala Lumpur,,3.1667,101.7,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-MULTI,175.140.29.167,59107,AS4788,204.95.99.109,7777,,MY,2,Gurun,,5.8172,100.4738,0,0,POST /ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-MULTI,115.132.48.3,62116,AS4788,204.95.99.109,1604,,MY,7,Ipoh,,4.5841,101.0829,0,0,"lv|'|'|8J+YiPCfmIggSGFjS2VkIPCfmIjwn5iIXzJFREEyMzMz|'|'|USER-PC|'|'|User|'|'|2014-05-04|'|'||'|'|Win 7 Starter SP0 x86|'|'|No|'|'|0.6.4|'|'|..|'|'|6a2U54245LiW55WM|'|'|2b3328e57676df442688f81f9824276a,f8c065f4e758233f0d12dc9b8cf7a2ce,[endof]",,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-Jenxcus,60.48.177.230,52611,AS4788,204.95.99.86,1644,,MY,2,Sungai Petani,,5.647,100.4877,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-CB,175.144.116.77,57078,AS4788,204.95.99.31,288,,MY,14,Kuala Lumpur,,3.1667,101.7,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-Fynloski,211.25.233.186,38998,AS9930,204.95.99.66,1337,,MY,14,Kuala Lumpur,,3.1667,101.7,0,0,D573BA5A4EFFC3FB629308,,,,,,,,,,,Low
SinkHoleMessage,1.31E+17,B106-MULTI,180.74.64.58,65207,AS38322,204.95.99.109,333,,MY,,,,2.5,112.5,0,0,,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-MULTI,14.1.210.17,55723,AS45960,204.95.99.109,95,,MY,12,Kajang,,2.9927,101.7909,0,0,lv||UsbV_30A1F697||USER-VVL9SFI8PJ/Administrator||MY||WIN_7 X64||5||,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-MULTI,60.49.90.143,23497,AS4788,204.95.99.109,102,,MY,1,Johor Bahru,,1.4655,103.7578,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-Jenxcus,175.137.3.7,58644,AS4788,204.95.99.86,1644,,MY,12,Puchong,,3.0167,101.6167,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-MULTI,124.82.57.6,53323,AS4788,204.95.99.109,7777,,MY,7,Ipoh,,4.5841,101.0829,0,0,POST /ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-Jenxcus,110.159.96.112,62675,AS4788,204.95.99.86,4442,,MY,14,Kuala Lumpur,,3.1667,101.7,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-CB,1.9.102.27,9752,AS4788,204.95.99.31,1920,,MY,4,Melaka,,2.196,102.2405,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-MULTI,60.52.70.105,56241,AS4788,204.95.99.109,333,,MY,1,Johor Bahru,,1.4655,103.7578,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-Jenxcus,112.137.166.39,53080,AS17971,204.95.99.86,1644,,MY,14,Kuala Lumpur,,3.1667,101.7,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-Poison,120.140.110.204,2572,AS38322,204.95.99.130,1408,,MY,12,Klang,,3.0333,101.45,0,0,,,,,,,,,,,,Low
SinkHoleMessage,1.31E+17,B106-MULTI,60.53.248.166,51767,AS4788,204.95.99.109,102,,MY,12,Batu Caves,,3.2333,101.6667,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-Poison,120.140.110.204,2571,AS38322,204.95.99.130,5552,,MY,12,Klang,,3.0333,101.45,0,0,,,,,,,,,,,,Low
SinkHoleMessage,1.31E+17,B106-CB,203.106.149.10,8019,AS4788,204.95.99.31,105,,MY,9,Penang,,5.4112,100.3354,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-MULTI,14.192.214.128,1683,AS9534,204.95.99.109,2233,,MY,14,Kuala Lumpur,,3.1667,101.7,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-CB,203.106.136.3,50391,AS4788,204.95.99.31,288,,MY,12,Puchong,,3.0167,101.6167,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-CB,113.210.132.62,43417,AS9534,204.95.99.31,105,,MY,12,Petaling Jaya,,3.0833,101.65,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-MULTI,124.13.54.232,52281,AS4788,204.95.99.109,88,,MY,12,Petaling Jaya,,3.0833,101.65,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-MULTI,60.54.175.222,52622,AS4788,204.95.99.109,88,,MY,14,Kuala Lumpur,,3.1667,101.7,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-MULTI,175.138.129.16,53348,AS4788,204.95.99.109,88,,MY,1,Johor Bahru,,1.4655,103.7578,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-MULTI,175.140.20.229,2947,AS4788,204.95.99.109,258,,MY,12,Klang,,3.0333,101.45,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-Jenxcus,60.51.8.40,63515,AS4788,204.95.99.86,1644,,MY,7,Ipoh,,4.5841,101.0829,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-MULTI,203.106.151.235,1607,AS4788,204.95.99.109,88,,MY,9,Penang,,5.4112,100.3354,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
